Date,EmployeeID,Shift,InTime,OutTime
2026-01-01,EMP0001,C,22:00,06:00
2026-01-01,EMP0003,B,14:06,22:00
2026-01-01,EMP0006,A,06:03,14:00
2026-01-01,EMP0007,C,22:00,06:00
2026-01-01,EMP0008,A,06:07,14:00
2026-01-01,EMP0009,C,22:04,06:00
2026-01-01,EMP0010,B,14:07,22:30
2026-01-01,EMP0011,A,06:08,14:00
2026-01-01,EMP0012,B,14:01,22:00
2026-01-01,EMP0013,B,14:08,22:00
2026-01-01,EMP0014,C,22:06,06:00
2026-01-01,EMP0016,C,22:02,06:00
2026-01-01,EMP0017,A,06:00,15:30
2026-01-01,EMP0019,B,14:03,22:00
2026-01-01,EMP0020,A,06:05,14:30
2026-01-01,EMP0021,B,14:03,22:00
2026-01-01,EMP0022,B,14:01,22:00
2026-01-01,EMP0023,A,06:05,14:00
2026-01-01,EMP0024,B,14:01,22:00
2026-01-01,EMP0025,C,22:08,06:00
2026-01-01,EMP0026,C,22:08,06:00
2026-01-01,EMP0027,A,06:02,14:00
2026-01-01,EMP0028,A,06:02,14:30
2026-01-01,EMP0030,C,22:01,06:00
2026-01-01,EMP0031,A,06:02,14:00
2026-01-01,EMP0032,A,06:04,14:00
2026-01-01,EMP0033,B,14:13,22:00
2026-01-01,EMP0034,B,14:00,22:00
2026-01-01,EMP0035,A,06:14,14:00
2026-01-01,EMP0036,A,06:15,14:00
2026-01-01,EMP0037,C,22:05,06:00
2026-01-01,EMP0038,C,22:03,06:00
2026-01-01,EMP0039,A,06:00,14:00
2026-01-01,EMP0040,B,14:01,22:00
2026-01-01,EMP0041,A,06:01,14:00
2026-01-01,EMP0042,C,22:13,06:00
2026-01-01,EMP0043,A,06:14,14:00
2026-01-01,EMP0044,C,22:00,06:00
2026-01-01,EMP0045,A,06:00,14:00
2026-01-01,EMP0046,B,14:07,22:00
2026-01-01,EMP0047,B,14:01,22:00
2026-01-01,EMP0048,A,06:12,14:00
2026-01-01,EMP0049,A,06:00,14:00
2026-01-01,EMP0050,C,22:00,06:00
2026-01-01,EMP0051,B,14:00,22:00
2026-01-01,EMP0052,B,14:09,22:00
2026-01-01,EMP0053,C,22:09,06:00
2026-01-01,EMP0056,C,22:11,06:00
2026-01-01,EMP0058,A,06:21,14:30
2026-01-01,EMP0059,B,14:02,22:00
2026-01-01,EMP0060,C,22:09,06:00
2026-01-01,EMP0061,C,22:04,06:00
2026-01-01,EMP0062,A,06:05,14:00
2026-01-01,EMP0063,A,06:02,14:00
2026-01-01,EMP0064,A,06:07,14:00
2026-01-01,EMP0065,C,22:00,06:00
2026-01-01,EMP0066,A,06:05,14:00
2026-01-01,EMP0067,C,22:04,06:00
2026-01-01,EMP0068,B,14:01,22:00
2026-01-01,EMP0069,C,22:11,06:00
2026-01-01,EMP0070,C,22:10,06:00
2026-01-01,EMP0071,C,22:02,06:00
2026-01-01,EMP0072,B,14:02,22:00
2026-01-01,EMP0073,B,14:00,22:00
2026-01-01,EMP0074,A,06:02,14:00
2026-01-01,EMP0077,B,14:02,22:00
2026-01-01,EMP0078,A,06:01,14:00
2026-01-01,EMP0079,A,06:12,14:00
2026-01-01,EMP0080,B,14:02,22:00
2026-01-01,EMP0081,B,14:04,22:00
2026-01-01,EMP0082,C,22:00,06:00
2026-01-01,EMP0083,C,22:17,06:00
2026-01-01,EMP0084,B,14:07,22:00
2026-01-01,EMP0085,B,14:00,22:00
2026-01-01,EMP0086,C,22:00,06:00
2026-01-01,EMP0087,C,22:05,06:00
2026-01-01,EMP0088,C,22:06,08:00
2026-01-01,EMP0089,B,14:11,22:00
2026-01-01,EMP0090,C,22:04,06:00
2026-01-01,EMP0091,A,06:07,14:00
2026-01-01,EMP0092,B,14:03,22:00
2026-01-01,EMP0093,C,22:00,06:00
2026-01-01,EMP0094,C,22:00,06:00
2026-01-01,EMP0095,A,06:06,14:00
2026-01-01,EMP0096,A,06:05,14:00
2026-01-01,EMP0097,A,06:02,14:00
2026-01-01,EMP0098,C,22:04,06:00
2026-01-01,EMP0099,C,22:11,06:00
2026-01-01,EMP0100,B,14:00,22:00
2026-01-01,EMP0101,A,06:06,16:30
2026-01-01,EMP0102,C,22:03,06:00
2026-01-01,EMP0104,A,06:00,14:00
2026-01-01,EMP0105,B,14:03,22:00
2026-01-01,EMP0106,C,22:02,06:00
2026-01-01,EMP0107,A,06:02,14:00
2026-01-01,EMP0108,A,06:00,14:00
2026-01-01,EMP0109,B,14:01,22:00
2026-01-01,EMP0110,A,06:08,14:00
2026-01-01,EMP0111,B,14:00,22:00
2026-01-01,EMP0112,B,14:01,22:00
2026-01-01,EMP0114,A,06:04,14:00
2026-01-01,EMP0115,B,14:02,22:00
2026-01-01,EMP0116,C,22:00,06:00
2026-01-01,EMP0117,C,22:09,06:00
2026-01-01,EMP0118,C,22:00,06:00
2026-01-01,EMP0119,A,06:05,14:00
2026-01-01,EMP0121,B,14:03,22:00
2026-01-01,EMP0122,A,06:09,14:00
2026-01-01,EMP0123,A,06:16,14:00
2026-01-01,EMP0124,C,22:10,06:00
2026-01-01,EMP0125,C,22:07,06:00
2026-01-01,EMP0126,A,06:10,14:00
2026-01-01,EMP0127,A,06:00,14:00
2026-01-01,EMP0128,A,06:00,14:00
2026-01-01,EMP0129,B,14:06,00:00
2026-01-01,EMP0130,C,22:00,06:00
2026-01-01,EMP0131,A,06:03,14:00
2026-01-01,EMP0132,B,14:03,22:00
2026-01-01,EMP0133,C,22:27,06:30
2026-01-01,EMP0135,C,22:06,06:00
2026-01-01,EMP0136,B,14:05,22:00
2026-01-01,EMP0137,A,06:11,16:00
2026-01-01,EMP0138,B,14:01,22:00
2026-01-01,EMP0139,B,14:07,22:00
2026-01-01,EMP0140,A,06:02,14:00
2026-01-01,EMP0141,C,22:01,06:00
2026-01-01,EMP0142,C,22:07,06:00
2026-01-01,EMP0143,A,06:00,14:00
2026-01-01,EMP0144,A,06:02,14:00
2026-01-01,EMP0145,C,22:02,06:00
2026-01-01,EMP0146,B,14:02,22:00
2026-01-01,EMP0147,A,06:03,14:00
2026-01-01,EMP0148,C,22:04,06:00
2026-01-01,EMP0150,A,06:03,14:00
2026-01-01,EMP0151,B,14:02,22:00
2026-01-01,EMP0152,B,14:03,22:00
2026-01-01,EMP0153,C,22:18,06:00
2026-01-01,EMP0154,C,22:02,06:00
2026-01-01,EMP0155,B,14:08,22:00
2026-01-01,EMP0156,B,14:00,22:00
2026-01-01,EMP0157,C,22:01,06:00
2026-01-01,EMP0158,B,14:03,23:00
2026-01-01,EMP0160,A,06:03,14:00
2026-01-01,EMP0161,B,14:07,22:00
2026-01-01,EMP0162,C,22:01,10:00
2026-01-01,EMP0163,C,22:09,07:00
2026-01-01,EMP0164,B,14:12,22:00
2026-01-01,EMP0166,B,14:09,22:00
2026-01-01,EMP0167,C,22:06,06:00
2026-01-01,EMP0168,B,14:03,22:00
2026-01-01,EMP0169,B,14:00,22:00
2026-01-01,EMP0170,A,06:03,14:00
2026-01-01,EMP0171,C,22:02,06:00
2026-01-01,EMP0172,B,14:07,22:00
2026-01-01,EMP0173,A,06:02,14:00
2026-01-01,EMP0174,A,06:00,14:00
2026-01-01,EMP0175,A,06:05,14:00
2026-01-01,EMP0176,C,22:06,06:00
2026-01-01,EMP0177,C,22:00,06:00
2026-01-01,EMP0178,B,14:04,22:00
2026-01-01,EMP0179,A,06:00,14:00
2026-01-01,EMP0180,A,06:08,14:00
2026-01-01,EMP0181,A,06:05,14:00
2026-01-01,EMP0182,C,22:00,06:00
2026-01-01,EMP0183,C,22:01,06:00
2026-01-01,EMP0184,B,14:02,22:00
2026-01-01,EMP0185,C,22:21,06:00
2026-01-01,EMP0186,B,14:04,22:00
2026-01-01,EMP0187,B,14:00,22:00
2026-01-01,EMP0189,C,22:16,07:00
2026-01-01,EMP0190,A,06:01,14:30
2026-01-01,EMP0191,B,14:10,22:00
2026-01-01,EMP0192,B,14:01,22:30
2026-01-01,EMP0193,A,06:02,14:00
2026-01-01,EMP0194,B,14:00,22:00
2026-01-01,EMP0195,B,14:00,22:00
2026-01-01,EMP0196,C,22:01,06:00
2026-01-01,EMP0198,C,22:04,06:00
2026-01-01,EMP0199,B,14:05,22:00
2026-01-01,EMP0200,C,22:00,06:00
2026-01-01,EMP0201,A,06:07,14:00
2026-01-01,EMP0202,C,22:03,06:00
2026-01-01,EMP0203,B,14:04,22:00
2026-01-01,EMP0204,C,22:03,06:00
2026-01-01,EMP0205,C,22:02,06:00
2026-01-01,EMP0206,C,22:03,06:00
2026-01-01,EMP0207,B,14:03,22:00
2026-01-01,EMP0208,A,06:02,14:00
2026-01-01,EMP0209,B,14:05,22:00
2026-01-01,EMP0210,B,14:00,22:00
2026-01-01,EMP0211,A,06:03,14:00
2026-01-01,EMP0212,C,22:00,06:00
2026-01-01,EMP0213,A,06:01,14:00
2026-01-01,EMP0214,A,06:06,14:00
2026-01-01,EMP0215,A,06:11,14:30
2026-01-01,EMP0216,A,06:09,14:00
2026-01-01,EMP0217,A,06:02,14:00
2026-01-01,EMP0218,B,14:05,22:00
2026-01-01,EMP0219,C,22:04,08:00
2026-01-01,EMP0220,B,14:02,22:00
2026-01-01,EMP0221,A,06:04,14:00
2026-01-01,EMP0222,B,14:03,22:00
2026-01-01,EMP0223,C,22:21,06:00
2026-01-01,EMP0224,A,06:22,14:00
2026-01-01,EMP0225,B,14:12,22:00
2026-01-01,EMP0226,C,22:00,06:00
2026-01-01,EMP0227,A,06:02,14:00
2026-01-01,EMP0228,C,22:05,06:00
2026-01-01,EMP0229,A,06:07,14:00
2026-01-01,EMP0230,C,22:11,06:00
2026-01-01,EMP0231,B,14:00,22:00
2026-01-01,EMP0233,A,06:02,14:00
2026-01-01,EMP0234,B,14:06,22:00
2026-01-01,EMP0236,C,22:04,06:00
2026-01-01,EMP0237,C,22:02,06:00
2026-01-01,EMP0238,C,22:04,06:00
2026-01-01,EMP0239,A,06:00,14:00
2026-01-01,EMP0240,C,22:00,06:00
2026-01-01,EMP0242,C,22:20,06:00
2026-01-01,EMP0243,C,22:01,08:30
2026-01-01,EMP0244,B,14:02,22:00
2026-01-01,EMP0245,A,06:04,14:00
2026-01-01,EMP0246,A,06:01,14:00
2026-01-01,EMP0247,C,22:02,07:30
2026-01-01,EMP0248,C,22:01,06:00
2026-01-01,EMP0249,A,06:00,14:00
2026-01-01,EMP0250,A,06:09,14:00
2026-01-01,EMP0251,A,06:05,14:00
2026-01-01,EMP0253,A,06:00,14:00
2026-01-01,EMP0254,C,22:03,06:00
2026-01-01,EMP0255,C,22:06,06:00
2026-01-01,EMP0256,A,06:10,14:30
2026-01-01,EMP0257,A,06:01,14:00
2026-01-01,EMP0258,A,06:00,15:00
2026-01-01,EMP0259,C,22:24,06:00
2026-01-01,EMP0260,C,22:18,06:00
2026-01-01,EMP0261,C,22:12,06:00
2026-01-01,EMP0262,B,14:06,22:00
