Date,Shift,Attendees,MealsPrepared,MealsConsumed,MealsWasted,WastePercent,CostPerMeal,TotalCost,WastageCost,HistoricalAvgMeals
2026-01-01,A,167,186,139,47,25.268817204301076,35,6510,1645,186.0
2026-01-01,B,137,151,118,33,21.85430463576159,32,4832,1056,151.0
2026-01-01,C,154,163,137,26,15.950920245398773,38,6194,988,163.0
2026-01-02,A,167,177,144,33,18.64406779661017,35,6195,1155,186.0
2026-01-02,B,146,160,138,22,13.750000000000002,32,5120,704,151.0
2026-01-02,C,155,177,135,42,23.728813559322035,38,6726,1596,163.0
2026-01-03,A,156,170,132,38,22.35294117647059,40,6800,1520,181.5
2026-01-03,B,146,157,132,25,15.92356687898089,32,5024,800,155.5
2026-01-03,C,159,174,136,38,21.839080459770116,40,6960,1520,170.0
2026-01-04,A,102,114,93,21,18.421052631578945,38,4332,798,177.66666666666666
2026-01-04,B,86,92,78,14,15.217391304347828,35,3220,490,156.0
2026-01-04,C,95,107,85,22,20.5607476635514,38,4066,836,171.33333333333334
2026-01-05,A,161,174,139,35,20.114942528735632,32,5568,1120,161.75
2026-01-05,B,150,163,138,25,15.337423312883436,40,6520,1000,140.0
2026-01-05,C,155,174,143,31,17.81609195402299,38,6612,1178,155.25
2026-01-06,A,152,165,137,28,16.969696969696972,32,5280,896,164.2
2026-01-06,B,154,168,143,25,14.880952380952381,40,6720,1000,144.6
2026-01-06,C,153,175,143,32,18.285714285714285,38,6650,1216,159.0
2026-01-07,A,160,170,146,24,14.117647058823529,35,5950,840,164.33333333333334
2026-01-07,B,144,165,123,42,25.454545454545453,40,6600,1680,148.5
2026-01-07,C,160,179,145,34,18.994413407821227,35,6265,1190,161.66666666666666
2026-01-08,A,160,182,133,49,26.923076923076923,35,6370,1715,165.14285714285714
2026-01-08,B,136,151,124,27,17.880794701986755,35,5285,945,150.85714285714286
2026-01-08,C,161,170,134,36,21.176470588235293,32,5440,1152,164.14285714285714
2026-01-09,A,164,182,141,41,22.52747252747253,40,7280,1640,167.25
2026-01-09,B,133,145,114,31,21.379310344827587,32,4640,992,150.875
2026-01-09,C,164,173,154,19,10.982658959537572,32,5536,608,164.875
2026-01-10,A,162,175,132,43,24.571428571428573,32,5600,1376,168.88888888888889
2026-01-10,B,147,165,122,43,26.060606060606062,35,5775,1505,150.22222222222223
2026-01-10,C,159,171,146,25,14.619883040935672,38,6498,950,165.77777777777777
2026-01-11,A,104,119,89,30,25.210084033613445,32,3808,960,169.5
2026-01-11,B,78,90,62,28,31.11111111111111,40,3600,1120,151.7
2026-01-11,C,91,99,83,16,16.161616161616163,32,3168,512,166.3
2026-01-12,A,132,149,122,27,18.120805369127517,32,4768,864,164.9090909090909
2026-01-12,B,113,120,97,23,19.166666666666668,38,4560,874,146.0909090909091
2026-01-12,C,111,125,100,25,20.0,40,5000,1000,160.1818181818182
2026-01-13,A,136,145,117,28,19.310344827586206,32,4640,896,163.58333333333334
