Date,Department,ProductionUnits
2026-01-01,Biscuit,46383
2026-01-01,Wafer,19740
2026-01-01,Maintenance,5170
2026-01-02,Biscuit,42601
2026-01-02,Wafer,19283
2026-01-02,Maintenance,4909
2026-01-03,Biscuit,35256
2026-01-03,Wafer,14144
2026-01-03,Maintenance,3705
2026-01-04,Biscuit,30884
2026-01-04,Wafer,14889
2026-01-04,Maintenance,3217
2026-01-05,Biscuit,46177
2026-01-05,Wafer,20559
2026-01-05,Maintenance,4755
2026-01-06,Biscuit,42435
2026-01-06,Wafer,20896
2026-01-06,Maintenance,5113
2026-01-07,Biscuit,42143
2026-01-07,Wafer,21350
2026-01-07,Maintenance,4880
2026-01-08,Biscuit,49364
2026-01-08,Wafer,20158
2026-01-08,Maintenance,5432
2026-01-09,Biscuit,45030
2026-01-09,Wafer,19364
2026-01-09,Maintenance,5761
2026-01-10,Biscuit,35103
2026-01-10,Wafer,14887
2026-01-10,Maintenance,3308
2026-01-11,Biscuit,31538
2026-01-11,Wafer,15175
2026-01-11,Maintenance,3578
2026-01-12,Biscuit,43146
2026-01-12,Wafer,18552
2026-01-12,Maintenance,5302
2026-01-13,Biscuit,44119
2026-01-13,Wafer,20778
2026-01-13,Maintenance,5259
2026-01-14,Biscuit,42528
2026-01-14,Wafer,21025
2026-01-14,Maintenance,4904
2026-01-15,Biscuit,42794
2026-01-15,Wafer,18903
2026-01-15,Maintenance,4738
2026-01-16,Biscuit,46221
2026-01-16,Wafer,21121
2026-01-16,Maintenance,5183
2026-01-17,Biscuit,36444
2026-01-17,Wafer,14583
2026-01-17,Maintenance,3680
2026-01-18,Biscuit,37272
2026-01-18,Wafer,15628
2026-01-18,Maintenance,3672
2026-01-19,Biscuit,45831
2026-01-19,Wafer,21418
2026-01-19,Maintenance,5130
2026-01-20,Biscuit,44629
2026-01-20,Wafer,19213
2026-01-20,Maintenance,4960
2026-01-21,Biscuit,44637
2026-01-21,Wafer,20668
2026-01-21,Maintenance,4910
2026-01-22,Biscuit,42426
2026-01-22,Wafer,20423
2026-01-22,Maintenance,4833
2026-01-23,Biscuit,46522
2026-01-23,Wafer,19565
2026-01-23,Maintenance,4882
2026-01-24,Biscuit,34096
2026-01-24,Wafer,14385
2026-01-24,Maintenance,3782
2026-01-25,Biscuit,32000
2026-01-25,Wafer,14686
2026-01-25,Maintenance,3850
2026-01-26,Biscuit,43422
2026-01-26,Wafer,19477
2026-01-26,Maintenance,4942
2026-01-27,Biscuit,42931
2026-01-27,Wafer,19810
2026-01-27,Maintenance,5168
2026-01-28,Biscuit,41591
2026-01-28,Wafer,19206
2026-01-28,Maintenance,4916
2026-01-29,Biscuit,46562
2026-01-29,Wafer,20033
2026-01-29,Maintenance,4845
2026-01-30,Biscuit,47705
2026-01-30,Wafer,20809
2026-01-30,Maintenance,5027
2026-01-31,Biscuit,38777
2026-01-31,Wafer,14876
2026-01-31,Maintenance,3604
2026-02-01,Biscuit,32274
2026-02-01,Wafer,17219
2026-02-01,Maintenance,4089
2026-02-02,Biscuit,45991
2026-02-02,Wafer,20515
2026-02-02,Maintenance,5041
2026-02-03,Biscuit,44329
2026-02-03,Wafer,17414
2026-02-03,Maintenance,4891
2026-02-04,Biscuit,48938
2026-02-04,Wafer,19543
2026-02-04,Maintenance,5375
2026-02-05,Biscuit,43958
2026-02-05,Wafer,20642
2026-02-05,Maintenance,5048
2026-02-06,Biscuit,46021
2026-02-06,Wafer,20970
2026-02-06,Maintenance,5185
2026-02-07,Biscuit,33015
2026-02-07,Wafer,13965
2026-02-07,Maintenance,3564
2026-02-08,Biscuit,35555
2026-02-08,Wafer,16536
2026-02-08,Maintenance,3736
2026-02-09,Biscuit,47753
2026-02-09,Wafer,20952
2026-02-09,Maintenance,5128
2026-02-10,Biscuit,49468
2026-02-10,Wafer,21233
2026-02-10,Maintenance,5075
2026-02-11,Biscuit,42310
2026-02-11,Wafer,21126
2026-02-11,Maintenance,4875
2026-02-12,Biscuit,43242
2026-02-12,Wafer,21018
2026-02-12,Maintenance,4564
2026-02-13,Biscuit,47036
2026-02-13,Wafer,20832
2026-02-13,Maintenance,5318
2026-02-14,Biscuit,33522
2026-02-14,Wafer,15820
2026-02-14,Maintenance,3881
2026-02-15,Biscuit,31619
2026-02-15,Wafer,14632
2026-02-15,Maintenance,3690
2026-02-16,Biscuit,45503
2026-02-16,Wafer,18721
2026-02-16,Maintenance,5020
2026-02-17,Biscuit,46620
2026-02-17,Wafer,19799
2026-02-17,Maintenance,5403
2026-02-18,Biscuit,45982
2026-02-18,Wafer,19226
2026-02-18,Maintenance,5158
2026-02-19,Biscuit,43073
2026-02-19,Wafer,20729
2026-02-19,Maintenance,4960
2026-02-20,Biscuit,47422
2026-02-20,Wafer,17055
2026-02-20,Maintenance,4918
2026-02-21,Biscuit,30367
2026-02-21,Wafer,16318
2026-02-21,Maintenance,3491
2026-02-22,Biscuit,34853
2026-02-22,Wafer,14971
2026-02-22,Maintenance,3901
2026-02-23,Biscuit,45381
2026-02-23,Wafer,20664
2026-02-23,Maintenance,4699
2026-02-24,Biscuit,43274
2026-02-24,Wafer,21620
2026-02-24,Maintenance,4590
2026-02-25,Biscuit,46796
2026-02-25,Wafer,19016
2026-02-25,Maintenance,4768
2026-02-26,Biscuit,42305
2026-02-26,Wafer,19924
2026-02-26,Maintenance,4781
2026-02-27,Biscuit,46294
2026-02-27,Wafer,19215
2026-02-27,Maintenance,4997
2026-02-28,Biscuit,30993
2026-02-28,Wafer,15090
2026-02-28,Maintenance,3881
2026-03-01,Biscuit,32191
2026-03-01,Wafer,15772
2026-03-01,Maintenance,3853
2026-03-02,Biscuit,43660
2026-03-02,Wafer,20748
2026-03-02,Maintenance,5369
2026-03-03,Biscuit,48396
2026-03-03,Wafer,21080
2026-03-03,Maintenance,5088
2026-03-04,Biscuit,43068
2026-03-04,Wafer,18390
2026-03-04,Maintenance,4966
2026-03-05,Biscuit,43110
2026-03-05,Wafer,19038
2026-03-05,Maintenance,5204
2026-03-06,Biscuit,50549
2026-03-06,Wafer,21007
2026-03-06,Maintenance,4628
2026-03-07,Biscuit,37853
2026-03-07,Wafer,13007
2026-03-07,Maintenance,3770
2026-03-08,Biscuit,29947
2026-03-08,Wafer,15473
2026-03-08,Maintenance,3717
2026-03-09,Biscuit,43427
2026-03-09,Wafer,20207
2026-03-09,Maintenance,5252
2026-03-10,Biscuit,41903
2026-03-10,Wafer,18147
2026-03-10,Maintenance,4826
2026-03-11,Biscuit,45353
2026-03-11,Wafer,21074
2026-03-11,Maintenance,5424
2026-03-12,Biscuit,47342
2026-03-12,Wafer,20415
2026-03-12,Maintenance,4791
2026-03-13,Biscuit,45831
2026-03-13,Wafer,18758
2026-03-13,Maintenance,5714
2026-03-14,Biscuit,30733
2026-03-14,Wafer,14711
2026-03-14,Maintenance,3556
2026-03-15,Biscuit,34892
2026-03-15,Wafer,17728
2026-03-15,Maintenance,3822
2026-03-16,Biscuit,44606
2026-03-16,Wafer,19879
2026-03-16,Maintenance,5249
2026-03-17,Biscuit,48089
2026-03-17,Wafer,21699
2026-03-17,Maintenance,5026
2026-03-18,Biscuit,42979
2026-03-18,Wafer,19140
2026-03-18,Maintenance,4706
2026-03-19,Biscuit,38914
2026-03-19,Wafer,18720
2026-03-19,Maintenance,5041
2026-03-20,Biscuit,41754
2026-03-20,Wafer,19992
2026-03-20,Maintenance,4797
2026-03-21,Biscuit,33531
2026-03-21,Wafer,14705
2026-03-21,Maintenance,3337
2026-03-22,Biscuit,34851
2026-03-22,Wafer,14278
2026-03-22,Maintenance,3383
2026-03-23,Biscuit,43357
2026-03-23,Wafer,21060
2026-03-23,Maintenance,4990
2026-03-24,Biscuit,44715
2026-03-24,Wafer,18814
2026-03-24,Maintenance,5063
2026-03-25,Biscuit,46909
2026-03-25,Wafer,20504
2026-03-25,Maintenance,4989
2026-03-26,Biscuit,45609
2026-03-26,Wafer,20347
2026-03-26,Maintenance,5352
2026-03-27,Biscuit,48529
2026-03-27,Wafer,21973
2026-03-27,Maintenance,5355
2026-03-28,Biscuit,38227
2026-03-28,Wafer,14160
2026-03-28,Maintenance,4074
2026-03-29,Biscuit,31311
2026-03-29,Wafer,14302
2026-03-29,Maintenance,3759
2026-03-30,Biscuit,45612
2026-03-30,Wafer,21512
2026-03-30,Maintenance,4654
2026-03-31,Biscuit,47897
2026-03-31,Wafer,20337
2026-03-31,Maintenance,4553
2026-04-01,Biscuit,42947
2026-04-01,Wafer,18607
2026-04-01,Maintenance,5022
2026-04-02,Biscuit,46230
2026-04-02,Wafer,21874
2026-04-02,Maintenance,4842
2026-04-03,Biscuit,46391
2026-04-03,Wafer,19525
2026-04-03,Maintenance,4601
2026-04-04,Biscuit,33019
2026-04-04,Wafer,15837
2026-04-04,Maintenance,3610
2026-04-05,Biscuit,31465
2026-04-05,Wafer,15680
